category_name,subCategory_name,item_type
"Wire, Cable & Accessory",Wire/ Cable,Control Cable
"Wire, Cable & Accessory",Wire/ Cable,Communication/ LV Cable
"Wire, Cable & Accessory",Wire/ Cable,Audio/ Video Cable
"Wire, Cable & Accessory",Wire/ Cable,CCTV Cable
"Wire, Cable & Accessory",Wire/ Cable,Coaxial Cable
"Wire, Cable & Accessory",Wire/ Cable,Telephone Cable
"Wire, Cable & Accessory",Wire/ Cable,Ethernet Cable/ LAN Cable
"Wire, Cable & Accessory",Wire/ Cable,Fibre Optical Cable
"Wire, Cable & Accessory",Wire/ Cable,Fire Survival Cable
"Wire, Cable & Accessory",Circuit Breaker & Panel,Main Breaker Panel
"Wire, Cable & Accessory",Circuit Breaker & Panel,Sub Panel
"Wire, Cable & Accessory",Circuit Breaker & Panel,Circuit Breaker
"Wire, Cable & Accessory",Circuit Breaker & Panel,Switch Gear
"Wire, Cable & Accessory",Circuit Breaker & Panel,Contactor
"Wire, Cable & Accessory",Circuit Breaker & Panel,Fuse
"Wire, Cable & Accessory",Circuit Breaker & Panel,Ground & Phase Protection Relay
"Wire, Cable & Accessory",Circuit Breaker & Panel,Electro Mechanical Relay
"Wire, Cable & Accessory",Circuit Breaker & Panel,Electronic Relay
"Wire, Cable & Accessory",Electrical Accessory,Switch/ Socket
"Wire, Cable & Accessory",Electrical Accessory,Dimmer
"Wire, Cable & Accessory",Electrical Accessory,Light Switch Plate
"Wire, Cable & Accessory",Electrical Accessory,Outlet Wall Plate
"Wire, Cable & Accessory",Electrical Accessory,Combination Plate
"Wire, Cable & Accessory",Electrical Accessory,Doorbell
"Wire, Cable & Accessory",Electrical Accessory,Industrial Switch
"Wire, Cable & Accessory",Electrical Accessory,Conduit Pipe
"Wire, Cable & Accessory",Electrical Accessory,Flexible Pipe 
"Wire, Cable & Accessory",Electrical Accessory,Thimble
"Wire, Cable & Accessory",Electrical Accessory,Fan Regulator
"Wire, Cable & Accessory",Electrical Accessory,Cable Tie
"Wire, Cable & Accessory",Electrical Accessory,Cable Management
"Wire, Cable & Accessory",Electrical Accessory,Extension Cord
"Wire, Cable & Accessory",Electrical Accessory,Surge Protector
"Wire, Cable & Accessory",Electrical Accessory,Power Strip
"Wire, Cable & Accessory",Electrical Accessory,Lamp Holder
"Wire, Cable & Accessory",Electrical Accessory,Distribution Board
"Wire, Cable & Accessory",Electrical Accessory,Power Distribution Board
"Wire, Cable & Accessory",Electrical Accessory,Plug Top
"Wire, Cable & Accessory",Electrical Accessory,Light Box
"Wire, Cable & Accessory",Electrical Accessory,Fan Box
"Wire, Cable & Accessory",Electrical Accessory,Junction Box
"Wire, Cable & Accessory",Electrical Accessory,Switch Box
"Wire, Cable & Accessory",Electrical Tool,Plier
"Wire, Cable & Accessory",Electrical Tool,Screwdriver & Nutdriver
"Wire, Cable & Accessory",Electrical Tool,Wire Stripper
"Wire, Cable & Accessory",Electrical Tool,Fishing Tool
"Wire, Cable & Accessory",Electrical Tool,Measuring Device
"Wire, Cable & Accessory",Electrical Tool,Labeling Machine
"Wire, Cable & Accessory",Electrical Tool,Tape Measure
"Wire, Cable & Accessory",Electrical Tool,Hammer
"Wire, Cable & Accessory",Electrical Tool,Torpedo Level
"Wire, Cable & Accessory",Electrical Tool,Torch 
"Wire, Cable & Accessory",Electrical Tool,Utility Knife
"Wire, Cable & Accessory",Electrical Tool,Wrenche
"Wire, Cable & Accessory",Electrical Tool,Cutting & Stripping Tool
"Wire, Cable & Accessory",Electrical Tool,Electrical Tape
"Wire, Cable & Accessory",Electrical Tool,Electrical Grease & Lubricant
"Wire, Cable & Accessory",Electrical Tool,Chisel
"Wire, Cable & Accessory",Electrical Tool,Air Blower
"Wire, Cable & Accessory",Electrical Tool,Angle Grinder
